feature,importance
ybcQ,0.006948869698262892
group_2888,0.006864949543548952
pemI,0.006646716863823109
group_11182,0.006568647824969215
group_984,0.006440414889395337
pemK,0.006135156046847591
chpS,0.005911055978399319
group_2875,0.005468166678609276
focC_2,0.005251325141399843
dhfrI,0.005009168092870094
cat,0.004865888637951502
repE,0.004749441980873468
yjgH,0.004748920370902302
yadK,0.004267810628693284
yfcR,0.004069128375975602
mphR,0.004058204022209166
higB-1,0.003974070942111263
hscC,0.003796348869837307
group_2203,0.0037522386543159827
group_8566,0.003697936650018213
tabA_2,0.003671051209993795
sopB,0.0036401242848392696
ykfG_1,0.003592033057221458
group_2003,0.0035723343883289137
elfA,0.0035012165157750235
nmpC,0.0034554511662085786
group_17,0.0034332792008482118
tabA,0.003392912070487974
group_8523,0.0033888802673293604
sopA,0.0033820044446627538
